CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"Owatonna, MN Total"," 36,755 "," 6,241 "," 11,198 "," (4,957)"," 8,706 "," 9,903 "," (1,197)"," (2,465)"," 1,295 ", 430 , 86 
"Fremont, NE Total"," 36,706 "," 4,544 "," 9,933 "," (5,389)"," 5,588 "," 8,937 "," (3,349)"," (1,044)", 996 , 529 , 69 
"Pontiac, IL Total"," 36,671 "," 4,023 "," 10,208 "," (6,185)"," 5,014 "," 9,745 "," (4,731)", (991), 463 ," 1,044 ", 35 
"Huntington, IN Total"," 36,630 "," 3,506 "," 11,649 "," (8,143)"," 4,596 "," 10,862 "," (6,266)"," (1,090)", 787 , 383 , 96 
"Coshocton, OH Total"," 36,569 "," 4,013 "," 10,785 "," (6,772)"," 6,841 "," 8,312 "," (1,471)"," (2,828)"," 2,473 ", 564 , 65 
"DeRidder, LA Total"," 36,462 "," 2,393 "," 12,238 "," (9,845)"," 2,827 "," 11,111 "," (8,284)", (434)," 1,127 "," 1,157 ", 32 
"Escanaba, MI Total"," 36,377 "," 6,436 "," 11,121 "," (4,685)"," 8,330 "," 9,533 "," (1,203)"," (1,894)"," 1,588 "," 1,171 ", 31 
"Bennington, VT Total"," 36,317 "," 9,539 "," 5,925 "," 3,614 "," 11,517 "," 5,687 "," 5,830 "," (1,978)", 238 , 675 , 54 
"Sulphur Springs, TX Total"," 36,223 "," 2,510 "," 10,707 "," (8,197)"," 2,775 "," 9,834 "," (7,059)", (265), 873 , 767 , 47 
"Vidalia, GA Total"," 36,192 "," 3,185 "," 9,285 "," (6,100)"," 3,875 "," 9,181 "," (5,306)", (690), 104 , 604 , 60 
"Americus, GA Total"," 35,947 "," 5,921 "," 6,748 ", (827)," 6,818 "," 6,658 ", 160 , (897), 90 , 650 , 55 
"Hutchinson, MN Total"," 35,932 "," 4,978 "," 12,155 "," (7,177)"," 6,970 "," 11,069 "," (4,099)"," (1,992)"," 1,086 ", 491 , 73 
"Peru, IN Total"," 35,862 "," 2,766 "," 9,975 "," (7,209)"," 4,220 "," 8,163 "," (3,943)"," (1,454)"," 1,812 ", 374 , 96 
"Arkansas City-Winfield, KS Total"," 35,788 "," 3,436 "," 8,016 "," (4,580)"," 4,219 "," 7,932 "," (3,713)", (783), 84 ," 1,126 ", 32 
"Canton, IL Total"," 35,699 "," 6,133 "," 8,492 "," (2,359)"," 8,324 "," 6,622 "," 1,702 "," (2,191)"," 1,870 ", 866 , 41 
"Laurinburg, NC Total"," 35,509 "," 7,319 "," 6,256 "," 1,063 "," 8,131 "," 5,799 "," 2,332 ", (812), 457 , 319 , 111 
"Lebanon, MO Total"," 35,473 "," 2,553 "," 12,881 "," (10,328)"," 4,093 "," 10,934 "," (6,841)"," (1,540)"," 1,947 ", 765 , 46 
"Arcadia, FL Total"," 35,458 "," 3,781 "," 6,778 "," (2,997)"," 4,174 "," 5,587 "," (1,413)", (393)," 1,191 ", 637 , 56 
"Williston, ND Total"," 35,294 "," 1,735 "," 10,069 "," (8,334)"," 2,288 "," 7,087 "," (4,799)", (553)," 2,982 "," 2,077 ", 17 
"Newport, TN Total"," 35,162 "," 1,981 "," 9,791 "," (7,810)"," 2,804 "," 8,459 "," (5,655)", (823)," 1,332 ", 435 , 81 
"Decatur, IN Total"," 34,980 "," 2,805 "," 9,648 "," (6,843)"," 3,800 "," 8,936 "," (5,136)", (995), 712 , 339 , 103 
"Seneca Falls, NY Total"," 34,833 "," 5,697 "," 7,236 "," (1,539)"," 6,526 "," 5,405 "," 1,121 ", (829)," 1,831 ", 324 , 108 
"Brenham, TX Total"," 34,765 "," 3,382 "," 10,945 "," (7,563)"," 3,378 "," 10,850 "," (7,472)", 4 , 95 , 604 , 58 
"Logan, WV Total"," 34,707 "," 2,092 "," 9,897 "," (7,805)"," 3,461 "," 8,186 "," (4,725)"," (1,369)"," 1,711 ", 454 , 76 
"Brookhaven, MS Total"," 34,649 "," 4,458 "," 10,550 "," (6,092)"," 4,879 "," 9,333 "," (4,454)", (421)," 1,217 ", 586 , 59 
"Butte-Silver Bow, MT Total"," 34,622 "," 8,619 "," 6,376 "," 2,243 "," 10,782 "," 5,374 "," 5,408 "," (2,163)"," 1,002 ", 718 , 48 
"Dixon, IL Total"," 34,584 "," 5,528 "," 8,612 "," (3,084)"," 6,932 "," 8,046 "," (1,114)"," (1,404)", 566 , 725 , 48 
"Dodge City, KS Total"," 34,536 "," 2,032 "," 4,994 "," (2,962)"," 2,468 "," 5,459 "," (2,991)", (436), (465)," 1,098 ", 31 
"Angola, IN Total"," 34,372 "," 3,744 "," 10,133 "," (6,389)"," 4,846 "," 8,542 "," (3,696)"," (1,102)"," 1,591 ", 309 , 111 
"Effingham, IL Total"," 34,371 "," 3,083 "," 13,635 "," (10,552)"," 3,855 "," 12,491 "," (8,636)", (772)," 1,144 ", 479 , 72 
"Plainview, TX Total"," 34,360 "," 2,101 "," 6,366 "," (4,265)"," 2,228 "," 6,417 "," (4,189)", (127), (51)," 1,005 ", 34 
"Valley, AL Total"," 34,123 "," 5,784 "," 7,843 "," (2,059)"," 6,853 "," 7,596 ", (743)," (1,069)", 247 , 597 , 57 
"Martin, TN Total"," 33,960 "," 2,772 "," 9,008 "," (6,236)"," 3,547 "," 8,601 "," (5,054)", (775), 407 , 580 , 59 
"Brookings, SD Total"," 33,897 "," 4,879 "," 6,748 "," (1,869)"," 5,826 "," 6,219 ", (393), (947), 529 , 792 , 43 
"Bonham, TX Total"," 33,693 "," 2,132 "," 9,548 "," (7,416)"," 2,482 "," 8,143 "," (5,661)", (350)," 1,405 ", 891 , 38 
"Jackson, WY-ID Total"," 33,689 "," 9,473 "," 6,088 "," 3,385 "," 8,137 "," 7,316 ", 821 ," 1,336 "," (1,228)"," 4,445 ", 8 
"Taylorville, IL Total"," 33,642 "," 3,992 "," 10,543 "," (6,551)"," 5,487 "," 8,873 "," (3,386)"," (1,495)"," 1,670 ", 709 , 47 
"Malvern, AR Total"," 33,426 "," 3,149 "," 8,172 "," (5,023)"," 3,824 "," 7,087 "," (3,263)", (675)," 1,085 ", 615 , 54 
"Emporia, KS Total"," 33,339 "," 4,456 "," 6,354 "," (1,898)"," 4,972 "," 6,358 "," (1,386)", (516), (4), 847 , 39 
"Cleveland, MS Total"," 33,322 "," 9,046 "," 4,590 "," 4,456 "," 9,772 "," 4,346 "," 5,426 ", (726), 244 , 877 , 38 
"Coffeyville, KS Total"," 33,314 "," 2,557 "," 8,466 "," (5,909)"," 3,406 "," 8,417 "," (5,011)", (849), 49 , 644 , 52 
"Pella, IA Total"," 33,294 "," 5,482 "," 10,962 "," (5,480)"," 7,478 "," 9,810 "," (2,332)"," (1,996)"," 1,152 ", 555 , 60 
"Brevard, NC Total"," 33,211 "," 6,558 "," 10,520 "," (3,962)"," 6,740 "," 9,522 "," (2,782)", (182), 998 , 379 , 88 
"Troy, AL Total"," 33,046 "," 5,056 "," 7,693 "," (2,637)"," 6,009 "," 7,939 "," (1,930)", (953), (246), 672 , 49 
"Taos, NM Total"," 32,907 "," 10,668 "," 2,727 "," 7,941 "," 11,855 "," 2,710 "," 9,145 "," (1,187)", 17 ," 2,203 ", 15 
"Washington, IN Total"," 32,906 "," 1,800 "," 8,545 "," (6,745)"," 2,437 "," 7,638 "," (5,201)", (637), 907 , 429 , 77 
"Beeville, TX Total"," 32,874 "," 3,444 "," 4,744 "," (1,300)"," 3,451 "," 4,354 ", (903), (7), 390 , 880 , 37 
"Columbus, NE Total"," 32,847 "," 2,646 "," 10,965 "," (8,319)"," 3,095 "," 9,963 "," (6,868)", (449)," 1,002 ", 674 , 49 
"Mount Pleasant, TX Total"," 32,623 "," 2,597 "," 6,511 "," (3,914)"," 2,638 "," 6,062 "," (3,424)", (41), 449 , 406 , 80 
"Frankfort, IN Total"," 32,609 "," 2,819 "," 8,531 "," (5,712)"," 3,307 "," 6,338 "," (3,031)", (488)," 2,193 ", 405 , 81 
"Jackson, OH Total"," 32,596 "," 3,226 "," 9,949 "," (6,723)"," 4,965 "," 7,651 "," (2,686)"," (1,739)"," 2,298 ", 420 , 78 
"Dayton, TN Total"," 32,526 "," 1,942 "," 8,660 "," (6,718)"," 2,625 "," 7,793 "," (5,168)", (683), 867 , 315 , 103 
"Madison, IN Total"," 32,416 "," 4,326 "," 8,546 "," (4,220)"," 5,728 "," 7,096 "," (1,368)"," (1,402)"," 1,450 ", 361 , 90 
"Cambridge, MD Total"," 32,384 "," 6,245 "," 8,413 "," (2,168)"," 6,570 "," 7,514 ", (944), (325), 899 , 541 , 60 
"Kingsville, TX Total"," 32,264 "," 4,815 "," 4,451 ", 364 ," 4,834 "," 4,139 ", 695 , (19), 312 ," 2,340 ", 14 
"Dickinson, ND Total"," 32,154 "," 1,753 "," 9,755 "," (8,002)"," 2,805 "," 8,509 "," (5,704)"," (1,052)"," 1,246 "," 1,335 ", 24 
"Paris, TN Total"," 32,147 "," 3,063 "," 9,508 "," (6,445)"," 4,337 "," 8,187 "," (3,850)"," (1,274)"," 1,321 ", 562 , 57 
"Wabash, IN Total"," 32,138 "," 3,018 "," 9,821 "," (6,803)"," 3,929 "," 8,528 "," (4,599)", (911)," 1,293 ", 412 , 78 
"Miami, OK Total"," 31,981 "," 2,584 "," 7,631 "," (5,047)"," 3,508 "," 6,465 "," (2,957)", (924)," 1,166 ", 471 , 68 
"Hastings, NE Total"," 31,587 "," 3,302 "," 9,287 "," (5,985)"," 3,991 "," 8,235 "," (4,244)", (689)," 1,052 ", 563 , 56 
"Lewisburg, TN Total"," 31,552 "," 2,852 "," 8,184 "," (5,332)"," 3,722 "," 6,823 "," (3,101)", (870)," 1,361 ", 375 , 84 
"Jennings, LA Total"," 31,439 "," 3,080 "," 10,775 "," (7,695)"," 3,483 "," 10,014 "," (6,531)", (403), 761 , 651 , 48 
"Susanville, CA Total"," 31,345 "," 2,224 "," 7,574 "," (5,350)"," 3,044 "," 7,261 "," (4,217)", (820), 313 ," 4,541 ", 7 
"Macomb, IL Total"," 31,333 "," 5,288 "," 6,795 "," (1,507)"," 5,957 "," 6,142 ", (185), (669), 653 , 589 , 53 
"Central City, KY Total"," 31,183 "," 3,272 "," 9,393 "," (6,121)"," 4,771 "," 7,762 "," (2,991)"," (1,499)"," 1,631 ", 467 , 67 
"Kennett, MO Total"," 30,895 "," 2,360 "," 8,026 "," (5,666)"," 3,635 "," 6,849 "," (3,214)"," (1,275)"," 1,177 ", 541 , 57 
"St. Marys, PA Total"," 30,872 "," 3,853 "," 10,025 "," (6,172)"," 5,144 "," 7,099 "," (1,955)"," (1,291)"," 2,926 ", 827 , 37 
"Hope, AR Total"," 30,642 "," 3,534 "," 6,401 "," (2,867)"," 3,780 "," 6,280 "," (2,500)", (246), 121 ," 1,345 ", 23 
"Albert Lea, MN Total"," 30,613 "," 6,041 "," 8,808 "," (2,767)"," 9,327 "," 6,970 "," 2,357 "," (3,286)"," 1,838 ", 707 , 43 
"Breckenridge, CO Total"," 30,257 "," 9,557 "," 5,100 "," 4,457 "," 9,169 "," 5,495 "," 3,674 ", 388 , (395), 608 , 50 
"Iron Mountain, MI-WI Total"," 30,252 "," 4,588 "," 10,478 "," (5,890)"," 5,904 "," 9,331 "," (3,427)"," (1,316)"," 1,147 "," 1,250 ", 24 
"Sheridan, WY Total"," 30,009 "," 2,927 "," 10,266 "," (7,339)"," 3,618 "," 10,267 "," (6,649)", (691), (1)," 2,524 ", 12 
"Kirksville, MO Total"," 29,814 "," 3,854 "," 7,535 "," (3,681)"," 4,915 "," 6,822 "," (1,907)"," (1,061)", 713 , 875 , 34 
"Weatherford, OK Total"," 29,744 "," 2,104 "," 7,826 "," (5,722)"," 2,358 "," 7,442 "," (5,084)", (254), 384 , 989 , 30 
"Camden, AR Total"," 29,587 "," 4,960 "," 6,907 "," (1,947)"," 5,286 "," 6,974 "," (1,688)", (326), (67)," 1,361 ", 22 
"Jesup, GA Total"," 29,534 "," 2,041 "," 8,153 "," (6,112)"," 2,594 "," 7,553 "," (4,959)", (553), 600 , 642 , 46 
"Lincoln, IL Total"," 29,494 "," 3,313 "," 8,181 "," (4,868)"," 3,974 "," 7,835 "," (3,861)", (661), 346 , 618 , 48 
"Heber, UT Total"," 29,161 "," 3,063 "," 6,115 "," (3,052)"," 2,097 "," 6,852 "," (4,755)", 966 , (737)," 1,176 ", 25 
"Elkins, WV Total"," 29,126 "," 2,735 "," 7,629 "," (4,894)"," 3,325 "," 6,150 "," (2,825)", (590)," 1,479 "," 1,040 ", 28 
"Hays, KS Total"," 29,029 "," 2,669 "," 8,311 "," (5,642)"," 3,464 "," 9,057 "," (5,593)", (795), (746), 900 , 32 
"McPherson, KS Total"," 28,941 "," 3,183 "," 8,407 "," (5,224)"," 3,384 "," 8,399 "," (5,015)", (201), 8 , 898 , 32 
"Alpena, MI Total"," 28,803 "," 4,877 "," 9,090 "," (4,213)"," 6,549 "," 7,298 ", (749)," (1,672)"," 1,792 ", 572 , 50 
"Eufaula, AL-GA Total"," 28,791 "," 5,332 "," 6,029 ", (697)," 6,485 "," 6,049 ", 436 ," (1,153)", (20)," 1,036 ", 28 
"Ludington, MI Total"," 28,783 "," 5,281 "," 8,505 "," (3,224)"," 6,856 "," 7,580 ", (724)," (1,575)", 925 , 495 , 58 
"Washington Court House, OH Total"," 28,679 "," 2,739 "," 7,995 "," (5,256)"," 4,075 "," 6,456 "," (2,381)"," (1,336)"," 1,539 ", 406 , 71 
"Silver City, NM Total"," 28,609 "," 6,276 "," 5,288 ", 988 ," 7,009 "," 5,286 "," 1,723 ", (733), 2 ," 3,962 ", 7 
"Van Wert, OH Total"," 28,562 "," 2,697 "," 10,469 "," (7,772)"," 3,923 "," 9,433 "," (5,510)"," (1,226)"," 1,036 ", 409 , 70 
"Fort Morgan, CO Total"," 28,360 "," 3,151 "," 8,145 "," (4,994)"," 3,761 "," 6,461 "," (2,700)", (610)," 1,684 "," 1,280 ", 22 
"Merrill, WI Total"," 27,980 "," 5,371 "," 8,401 "," (3,030)"," 7,543 "," 7,444 ", 99 ," (2,172)", 957 , 879 , 32 
"Las Vegas, NM Total"," 27,967 "," 7,285 "," 2,313 "," 4,972 "," 8,754 "," 2,281 "," 6,473 "," (1,469)", 32 ," 4,716 ", 6 
"Hailey, ID Total"," 27,955 "," 6,886 "," 4,934 "," 1,952 "," 6,580 "," 5,482 "," 1,098 ", 306 , (548)," 4,919 ", 6 
"Watertown, SD Total"," 27,939 "," 3,174 "," 7,764 "," (4,590)"," 4,588 "," 6,696 "," (2,108)"," (1,414)"," 1,068 ", 689 , 41 
"North Vernon, IN Total"," 27,897 "," 2,364 "," 8,224 "," (5,860)"," 3,818 "," 6,112 "," (2,294)"," (1,454)"," 2,112 ", 377 , 74 
"Mineral Wells, TX Total"," 27,895 "," 1,708 "," 8,284 "," (6,576)"," 1,810 "," 7,392 "," (5,582)", (102), 892 , 952 , 29 
"Wauchula, FL Total"," 27,502 "," 2,149 "," 5,242 "," (3,093)"," 2,461 "," 4,694 "," (2,233)", (312), 548 , 638 , 43 
"Bennettsville, SC Total"," 27,494 "," 5,954 "," 4,267 "," 1,687 "," 7,554 "," 4,010 "," 3,544 "," (1,600)", 257 , 480 , 57 
"Middlesborough, KY Total"," 27,337 "," 1,720 "," 7,764 "," (6,044)"," 2,224 "," 7,127 "," (4,903)", (504), 637 , 359 , 76 
"Grants, NM Total"," 27,329 "," 3,741 "," 3,195 ", 546 ," 4,907 "," 2,966 "," 1,941 "," (1,166)", 229 ," 4,539 ", 6 
"Crescent City, CA Total"," 27,254 "," 3,485 "," 5,134 "," (1,649)"," 3,396 "," 4,256 ", (860), 89 , 878 ," 1,006 ", 27 
"Uvalde, TX Total"," 27,245 "," 3,867 "," 4,835 ", (968)," 3,824 "," 4,526 ", (702), 43 , 309 ," 1,552 ", 18 
"Bainbridge, GA Total"," 27,174 "," 4,124 "," 6,020 "," (1,896)"," 4,580 "," 5,816 "," (1,236)", (456), 204 , 597 , 46 
"Great Bend, KS Total"," 27,103 "," 1,823 "," 7,766 "," (5,943)"," 2,693 "," 9,132 "," (6,439)", (870)," (1,366)", 895 , 30 
"Indianola, MS Total"," 27,005 "," 6,725 "," 2,794 "," 3,931 "," 7,989 "," 2,907 "," 5,082 "," (1,264)", (113), 698 , 39 
"Boone, IA Total"," 26,643 "," 5,541 "," 7,484 "," (1,943)"," 7,457 "," 6,540 ", 917 ," (1,916)", 944 , 572 , 47 
"Forrest City, AR Total"," 26,589 "," 4,031 "," 3,195 ", 836 ," 4,652 "," 3,287 "," 1,365 ", (621), (92), 635 , 42 
"Greensburg, IN Total"," 26,521 "," 2,121 "," 8,490 "," (6,369)"," 2,941 "," 7,119 "," (4,178)", (820)," 1,371 ", 373 , 71 
"Bastrop, LA Total"," 26,395 "," 5,155 "," 6,502 "," (1,347)"," 5,887 "," 6,591 ", (704), (732), (89), 795 , 33 
"Thomaston, GA Total"," 26,368 "," 3,475 "," 7,292 "," (3,817)"," 3,955 "," 7,229 "," (3,274)", (480), 63 , 323 , 82 
"Mexico, MO Total"," 26,096 "," 2,570 "," 6,981 "," (4,411)"," 3,538 "," 6,186 "," (2,648)", (968), 795 , 692 , 38 
"Fredericksburg, TX Total"," 25,963 "," 2,288 "," 10,446 "," (8,158)"," 2,055 "," 10,305 "," (8,250)", 233 , 141 ," 1,058 ", 25 
"Mountain Home, ID Total"," 25,876 "," 1,814 "," 5,816 "," (4,002)"," 2,513 "," 5,227 "," (2,714)", (699), 589 ," 3,075 ", 8 
"Lexington, NE Total"," 25,859 "," 2,302 "," 6,778 "," (4,476)"," 2,387 "," 6,102 "," (3,715)", (85), 676 ," 1,471 ", 18 
"La Grande, OR Total"," 25,790 "," 3,249 "," 8,431 "," (5,182)"," 3,943 "," 7,608 "," (3,665)", (694), 823 ," 2,037 ", 13 
"The Dalles, OR Total"," 25,775 "," 4,781 "," 5,833 "," (1,052)"," 5,066 "," 5,152 ", (86), (285), 681 ," 2,382 ", 11 
"Marshall, MN Total"," 25,673 "," 3,825 "," 7,256 "," (3,431)"," 5,465 "," 6,595 "," (1,130)"," (1,640)", 661 , 715 , 36 
"Ottawa, KS Total"," 25,609 "," 2,829 "," 7,025 "," (4,196)"," 3,611 "," 6,893 "," (3,282)", (782), 132 , 572 , 45 
"Toccoa, GA Total"," 25,586 "," 1,837 "," 7,686 "," (5,849)"," 2,123 "," 7,207 "," (5,084)", (286), 479 , 179 , 143 
"Altus, OK Total"," 25,574 "," 1,473 "," 5,969 "," (4,496)"," 1,953 "," 5,962 "," (4,009)", (480), 7 , 803 , 32 
"Campbellsville, KY Total"," 25,420 "," 2,553 "," 8,320 "," (5,767)"," 3,284 "," 7,551 "," (4,267)", (731), 769 , 266 , 95 
